ID EVENT_TYPE EXTRA_INT EXTRA_STRING PERSON SEAT SURVEY TIME
102 SIT_DOWN NA NA 113 14 5 17:03:43.218999854
103 SIT_DOWN NA NA 183 8 5 21:35:01.218999827
104 SIT_DOWN NA NA 115 16 5 22:16:51.618999819
105 SIT_DOWN NA NA 132 3 5 23:15:05.218999808
106 SIT_DOWN NA NA 164 5 5 23:36:27.618999804
107 SIT_DOWN NA NA 188 4 5 05:12:07.218999522
108 SIT_DOWN NA NA 206 1 5 19:56:11.218999238
109 SIT_DOWN NA NA 214 11 5 20:33:09.618998949
110 SIT_DOWN NA NA 215 9 5 22:24:03.618998939
111 SIT_DOWN NA NA 238 2 5 20:31:31.618998596
112 SIT_DOWN NA NA 270 10 5 16:04:37.218997596
113 SIT_DOWN NA NA 288 15 5 19:57:05.218997596
114 SIT_DOWN NA NA 254 6 5 23:50:21.618997596
115 SIT_DOWN NA NA 258 12 5 00:32:51.618997596
116 SIT_DOWN NA NA 262 13 5 01:15:23.218997596
117 SIT_DOWN NA NA 279 7 5 04:27:05.218997596
121 INITIALIZATION_END NA NA NA NA 6 11:44:25.219
122 SIT_DOWN NA NA 140 8 6 19:52:17.218999847
123 SIT_DOWN NA NA 155 15 6 20:07:31.618999844
124 SIT_DOWN NA NA 141 9 6 20:27:56.41899984
125 SIT_DOWN NA NA 164 16 6 20:27:56.41899984
126 SIT_DOWN NA NA 150 13 6 20:53:36.418999835
127 SIT_DOWN NA NA 154 12 6 20:58:45.618999834
128 SIT_DOWN NA NA 178 1 6 21:24:37.618999829
129 SIT_DOWN NA NA 159 5 6 21:35:01.218999827
130 SIT_DOWN NA NA 181 4 6 21:35:01.218999827
131 SIT_DOWN NA NA 142 6 6 21:45:26.418999825
132 SIT_DOWN NA NA 177 10 6 22:27:23.218999817
133 SIT_DOWN NA NA 156 3 6 23:52:33.618999801
134 SIT_DOWN NA NA 188 14 6 01:08:29.218999787
135 SIT_DOWN NA NA 237 7 6 03:26:49.218998912
136 SIT_DOWN NA NA 264 2 6 01:22:56.4189977
137 SIT_DOWN NA NA 273 11 6 16:46:49.618997596
141 INITIALIZATION_END NA NA NA NA 7 11:44:25.219
142 SIT_DOWN NA NA 145 6 7 11:51:56.418999995
143 SIT_DOWN NA NA 167 13 7 19:47:13.218999848
144 SIT_DOWN NA NA 202 12 7 20:43:19.218999837
145 SIT_DOWN NA NA 181 16 7 21:09:05.218999832
146 SIT_DOWN NA NA 164 8 7 22:11:36.41899982
147 SIT_DOWN NA NA 169 14 7 23:25:45.618999806
148 SIT_DOWN NA NA 188 5 7 23:41:49.218999803
149 SIT_DOWN NA NA 196 3 7 23:41:49.218999803
150 SIT_DOWN NA NA 232 7 7 01:52:06.41899955
151 SIT_DOWN NA NA 234 11 7 03:10:03.618999539
152 SIT_DOWN NA NA 235 9 7 04:07:15.618999531
153 SIT_DOWN NA NA 245 2 7 00:23:45.618999209
154 SIT_DOWN NA NA 259 1 7 02:19:07.218998918
155 SIT_DOWN NA NA 258 4 7 05:20:11.218998902
156 SIT_DOWN NA NA 276 15 7 12:19:55.218998633
157 SIT_DOWN NA NA 265 10 7 12:59:26.41899863
161 INITIALIZATION_END NA NA NA NA 8 11:44:25.219
162 SIT_DOWN NA NA 202 8 8 20:07:31.618999844
163 SIT_DOWN NA NA 200 3 8 20:53:36.418999835
164 SIT_DOWN NA NA 229 14 8 21:19:26.41899983
165 SIT_DOWN NA NA 245 13 8 21:55:53.218999823
166 SIT_DOWN NA NA 185 16 8 21:55:53.218999823
167 SIT_DOWN NA NA 212 12 8 22:06:21.618999821
168 SIT_DOWN NA NA 213 9 8 22:59:07.618999811
169 SIT_DOWN NA NA 260 1 8 23:55:49.218999212
170 SIT_DOWN NA NA 280 5 8 23:19:45.618998934
171 SIT_DOWN NA NA 287 4 8 10:47:56.41899864
172 SIT_DOWN NA NA 286 11 8 13:12:37.618998629
173 SIT_DOWN NA NA 295 2 8 15:38:07.218998618
174 SIT_DOWN NA NA 300 15 8 17:45:25.218998307
175 SIT_DOWN NA NA 325 7 8 21:00:37.618997596
176 SIT_DOWN NA NA 345 6 8 02:19:13.618997596
177 SIT_DOWN NA NA 308 10 8 06:35:11.218997596
181 INITIALIZATION_END NA NA NA NA 9 11:44:25.219
182 SIT_DOWN NA NA 182 13 9 12:03:25.218999967
183 SIT_DOWN NA NA 181 6 9 12:07:06.41899996
184 SIT_DOWN NA NA 191 16 9 17:01:39.618999854
185 SIT_DOWN NA NA 197 8 9 23:36:27.618999804
186 SIT_DOWN NA NA 213 10 9 02:03:31.218999777
187 SIT_DOWN NA NA 308 14 9 09:16:17.218998647
188 SIT_DOWN NA NA 317 4 9 22:05:33.618998589
189 SIT_DOWN NA NA 323 3 9 05:35:29.218997687
190 SIT_DOWN NA NA 348 1 9 19:57:05.218997596
191 SIT_DOWN NA NA 351 11 9 22:04:13.618997596
192 SIT_DOWN NA NA 331 15 9 00:54:07.218997596
193 SIT_DOWN NA NA 361 2 9 01:36:39.618997596
194 SIT_DOWN NA NA 362 7 9 01:57:56.418997596
195 SIT_DOWN NA NA 366 5 9 04:27:05.218997596
196 SIT_DOWN NA NA 340 12 9 11:35:01.218997596
197 SIT_DOWN NA NA 373 9 9 02:20:13.218997596
201 INITIALIZATION_END NA NA NA NA 10 11:44:25.219
202 SIT_DOWN NA NA 206 14 10 11:45:41.218999996
203 SIT_DOWN NA NA 223 7 10 19:32:03.618999851
204 SIT_DOWN NA NA 280 5 10 22:16:51.618999819
205 SIT_DOWN NA NA 278 2 10 23:47:11.218999802
206 SIT_DOWN NA NA 265 16 10 02:20:09.618999774
207 SIT_DOWN NA NA 299 9 10 03:17:11.218999538
208 SIT_DOWN NA NA 304 10 10 18:16:09.618999249
209 SIT_DOWN NA NA 308 13 10 20:32:45.618999234
210 SIT_DOWN NA NA 341 4 10 08:07:26.418998345
211 SIT_DOWN NA NA 378 11 10 17:07:56.418997596
212 SIT_DOWN NA NA 363 15 10 19:35:55.218997596
213 SIT_DOWN NA NA 397 1 10 08:06:03.618997596
214 SIT_DOWN NA NA 392 3 10 08:36:03.618997596
215 SIT_DOWN NA NA 411 12 10 00:23:43.618997596
216 SIT_DOWN NA NA 418 8 10 08:29:15.618997596
217 SIT_DOWN NA NA 402 6 10 09:17:57.618997596
221 INITIALIZATION_END NA NA NA NA 11 11:44:25.219
222 SIT_DOWN NA NA 263 15 11 20:12:37.218999843
223 SIT_DOWN NA NA 286 14 11 22:53:49.218999812
224 SIT_DOWN NA NA 291 5 11 01:08:29.218999787
225 SIT_DOWN NA NA 306 8 11 03:21:41.218999763
226 SIT_DOWN NA NA 318 9 11 03:52:55.218999533
227 SIT_DOWN NA NA 317 2 11 06:39:26.41899951
228 SIT_DOWN NA NA 310 12 11 10:14:25.618999481
229 SIT_DOWN NA NA 321 3 11 01:01:06.418999205
230 SIT_DOWN NA NA 327 16 11 05:44:36.418999175
231 SIT_DOWN NA NA 336 6 11 01:34:07.218998922
232 SIT_DOWN NA NA 342 13 11 03:57:41.218998563
233 SIT_DOWN NA NA 377 4 11 14:40:17.218997596
234 SIT_DOWN NA NA 392 1 11 15:43:31.618997596
235 SIT_DOWN NA NA 384 7 11 15:43:31.618997596
236 SIT_DOWN NA NA 379 10 11 17:07:56.418997596
237 SIT_DOWN NA NA 372 11 11 03:23:07.618997596
